Sample ID,PX,PY
r991,200.124757,322.41847
r992,43.446306,433.002495
r993,215.736084,88.009493
r994,226.014327,341.795549
r995,48.1177519,420.667073
r996,52.975319,131.681019
r997,151.581679,56.0517794
r998,34.167116,116.148816
r999,138.92559,159.6204
r1000,21.7802055,419.755584
