OTU,superkingdom,phylum,class,order,family,genus,species,speciesOTU,Comments_bob
OTU92,Eukaryota,Streptophyta,Magnoliopsida,Fagales,Fagaceae,Fagaceae family,Fagaceae family,Fagaceae family_73,I don't think anything in this family is in PR - lab contamination?
OTU93,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asterales order,Asterales order,Asterales order,Asterales order_74,I don't think there are any trees in this order?
OTU94,Eukaryota,Streptophyta,Magnoliopsida,Malpighiales,Phyllanthaceae,Phyllanthaceae family,Phyllanthaceae family,Phyllanthaceae family_75,Only one tree in LFDP in this family (Margaritaria nobilis L. f.)
OTU96,Eukaryota,Streptophyta,Magnoliopsida,Magnoliopsida class,Magnoliopsida class,Magnoliopsida class,Magnoliopsida class,Magnoliopsida class_76,
OTU98,Eukaryota,Streptophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,Cyathea arborea,Cyathea arborea_77,Tree fern
OTU100,Eukaryota,Streptophyta,Magnoliopsida,Gentianales,Rubiaceae,Rubiaceae family,Rubiaceae family,Rubiaceae family_78,
OTU101,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Rosaceae family,Rosaceae family,Rosaceae family_79,Not aware of any trees in PR (at least LFDP) in this family
OTU102,Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Meliaceae,Meliaceae family,Meliaceae family,Meliaceae family_80,
OTU103,Eukaryota,Streptophyta,Magnoliopsida,Gentianales,Rubiaceae,Chione,Chione genus,Chione genus_81,
OTU104,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Ormosia,Ormosia krugii,Ormosia krugii_82,
OTU106,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Bambusa,Bambusa vulgaris,Bambusa vulgaris_83,Bamboo
OTU107,Eukaryota,Streptophyta,Magnoliopsida,Gentianales,Rubiaceae,Chassalia,Chassalia sp. cm26,Chassalia sp. cm26_84,Not recorded from LFDP (not even sure about PR) - ornamental?
OTU108,Eukaryota,Streptophyta,Pinopsida,Pinopsida class,Pinopsida class,Pinopsida class,Pinopsida class,Pinopsida class_85,Pines.  Could be Caribbean pine (not in LFDP but not that far away) or lab contamination.
OTU109,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rhamnaceae,Maesopsis,Maesopsis eminii,Maesopsis eminii_86,"Not known in LFDP, could be nearby planted but few records from PR"
OTU112,Eukaryota,Streptophyta,Magnoliopsida,Malpighiales,Ochnaceae,Ochnaceae family,Ochnaceae family,Ochnaceae family_87,"Only species known around LFDP in this family is Sauvagesia erecta L., which is herbacious"
OTU113,Eukaryota,Streptophyta,Magnoliopsida,Zingiberales,Musaceae,Musaceae family,Musaceae family,Musaceae family_88,Banana
OTU115,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Urticaceae,Urera,Urera baccifera,Urera baccifera_89,
OTU117,Eukaryota,Streptophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tabebuia,Tabebuia heterophylla,Tabebuia heterophylla_90,
OTU119,Eukaryota,Streptophyta,Magnoliopsida,Myrtales,Melastomataceae,Melastomataceae family,Melastomataceae family,Melastomataceae family_91,
OTU120,Eukaryota,Streptophyta,Magnoliopsida,Magnoliopsida class,Magnoliopsida class,Magnoliopsida class,Magnoliopsida class,Magnoliopsida class_92,
OTU121,Eukaryota,Streptophyta,Magnoliopsida,Fagales,Fagales order,Fagales order,Fagales order,Fagales order_93,Not much in this order in PR - could be lab contamination
